,Name,Party
410,LEE CHIN SIANG,Barisan Sosialis
411,LEE CHIN TECK,Singapore United Front
412,LEE CHOON ENG,Independent
413,LEE EK CHONG,Barisan Sosialis
414,LEE GECK HOON  ELLEN,People's Action Party
415,LEE HO KEE,Liberal Socialist Party
416,LEE HOCK HUAT  LINEKER,Singapore Democratic Alliance
417,LEE HONG CHUANG,People's Action Party
418,LEE HSIEN LOONG,People's Action Party
419,LEE HWEE YIOW,Labour Front
420,LEE JIAK SECK JOSEPH,United People's Party
421,LEE JUEN  MICHELLE,Singapore Democratic Party
422,LEE KAH CHIT RICHARD,United National Front
423,LEE KHEE LOONG,Singapore Alliance
424,LEE KHOON CHOY,People's Action Party
425,LEE KIM CHUAN,Singapore Alliance
426,LEE KIP HIANG,Liberal Socialist Party
427,LEE KOK LIANG,Liberal Socialist Party
428,LEE KUAN YEW HARRY,People's Action Party
429,LEE LI LIAN,Workers' Party
430,LEE MUN HUNG,Independent
431,LEE NAI CHOO,Independent
432,LEE POH CHEE,Singapore People's Alliance
433,LEE SIEW CHOH,Workers' Party
434,LEE SONG JUAN PATRICK,Singapore Democratic Alliance
435,LEE TECK HIM,People's Action Party
436,LEE TEE TONG,Barisan Sosialis
437,LEE THIAM CHUAN,Liberal Socialist Party
438,LEE TI SENG  DESMOND,People's Action Party
439,LEE TOW KIAT,Workers' Party
440,LEE TZE SHIH AUGUSTIN,People's Power Party
441,LEE WAI LENG,Workers' Party
442,LEE WEI RHEN  WARREN,People's Action Party
443,LEE YEONG WEE JIMMY,Singapore People's Party
444,LEE YEW SENG,Independent
445,LEE YI SHYAN,People's Action Party
446,LEE YIOK SENG,People's Action Party
447,LEE YOCK SUAN,People's Action Party
448,LEE YONG MIN,Labour Party
449,LEK POH SONG,Independent
450,LEO KENG FONG,People's Action Party
451,LEON-SOH  FELICE,Independent
452,LEONG FOON CHEW,Democratic Party
453,LEONG HORN KEE,People's Action Party
454,LEONG KENG SENG,Barisan Sosialis
455,LEONG KWAN FAI,Barisan Sosialis
456,LEONG MUN KWAI,People's Front
457,LEONG POH SENG,Liberal Socialist Party
458,LEONG SIEW CHOONG  PATRICK,Independent
459,LEONG YEW THONG,United Front
460,LEONG  HENRY,Labour Front
461,LER CHIN TEE,United People's Party
462,LEUNG WEI LIT  WILFRED,Singapore People's Party
463,LEW BAN HUAT,United National Front
464,LEW SYN PAU,People's Action Party
465,LEYU TAN JIB,United National Front
466,LIAM TIAN SENG,United People's Party
467,LIAN CHIN WAY,Workers' Party
468,LIANG ENG HWA,People's Action Party
469,LIAO PING  THOMAS,Malayan Chinese Association
470,LIEW KOK PUN MICHAEL,People's Action Party
471,LIM AH LEE,Liberal Socialist Party
472,LIM AH YONG PETER,National Solidarity Party
473,LIM ANG CHUAN,Barisan Sosialis
474,LIM BAK CHUAN  DESMOND,Singapore Democratic Alliance
475,LIM BIOW CHUAN,People's Action Party
476,LIM BOON HENG,People's Action Party
477,LIM BOON HENG BRYAN,Singapore Democratic Party
478,LIM CHEE ONN,People's Action Party
479,LIM CHENG LOCK,People's Action Party
480,LIM CHER KHENG,Independent
481,LIM CHIEN SEN,Barisan Sosialis
482,LIM CHIN SIONG,People's Action Party
483,LIM CHIU LIANG JOHN BAPTIST,Workers' Party
484,LIM CHOO SYE,Liberal Socialist Party
485,LIM CHOO TEN,Independent
486,LIM CHOON MONG,Independent
487,LIM CHUAN GEOK,Progressive Party
488,LIM CHUAN HOE  RICHARD,Independent
489,LIM CHUN LENG  MICHAEL,People's Action Party
490,LIM CHUNG MIN,United People's Party
491,LIM CHYE SENG,Democratic Party
492,LIM GUAN HOO,People's Action Party
493,LIM HNG KIANG,People's Action Party
494,LIM HOCK THIAM,Barisan Sosialis
495,LIM HUAN BOON,Barisan Sosialis
496,LIM HUAN SENG,Independent
497,LIM JEW KAN,Singapore Alliance
498,LIM KANG CHEW,Workers' Party
499,LIM KIA JOO,United National Front
500,LIM KIAN LEE,Progressive Party
501,LIM KIM HIAN,People's Action Party
502,LIM KIM KEE,Progressive Party
503,LIM KIM SAN,People's Action Party
504,LIM KOON TECK,Singapore Alliance
505,LIM LYE SOON,Workers' Party
506,LIM PENG ANN  RAYMOND,National Solidarity Party
507,LIM PENG KANG,United People's Party
508,LIM PENG YONG  JEFFREY,Singapore Democratic Alliance
509,LIM SECK TIONG  PETER,Progressive Party
510,LIM SEOW CHUAN JOHNNY,Labour Front
511,LIM SER PUAN,Singapore Alliance
512,LIM SIAK GUAN,Independent
513,LIM SIANG KEAT  RAYMOND,People's Action Party
514,LIM SIEW CHUAN ALAN,Labour Front
515,LIM SIEW EK,Malayan Chinese Association
516,LIM SIEW LAY,Liberal Socialist Party
517,LIM SOO PENG,People's Action Party
518,LIM SWEE LIAN  SYLVIA,Workers' Party
519,LIM SWEE SAY,People's Action Party
520,LIM TEAN,National Solidarity Party
521,LIM TEONG HOWE,Singapore Justice Party
522,LIM THIAM HOCK,People's Front
523,LIM TIK EN  DAVID,People's Action Party
524,LIM TIONG HOCK,Singapore United Front
525,LIM TONG ZHEN KEVRYN,National Solidarity Party
526,LIM TUNG HEE  ARTHERO,Singapore Democratic Alliance
527,LIM WEE KIAK,People's Action Party
528,LIM WEE TOH,Labour Front
529,LIM YEW HOCK,Singapore People's Alliance
530,LIM YONG BOCK,Democratic Party
531,LIM ZIRUI,Reform Party
532,LIM-TAN HWEE HUA,People's Action Party
533,LIN WO LING,Singapore People's Alliance
534,LIN YOU ENG,People's Action Party
535,LING HOW DOONG,Singapore Democratic Party
536,LINGAM  S. T. V.,Independent
537,LINGAM  SUPPIAH VISVA,People's Action Party
538,LO KA FAT ROBERT,Liberal Socialist Party
539,LOGANATHAN  N.,United National Front
540,LOH FOOK CHEONG,Workers' Party
541,LOH MENG SEE,People's Action Party
542,LOH MIAW GONG,Barisan Sosialis
543,LOH NGIAN LIM,Malayan Chinese Association
544,LOH WOON LEE  LINA,Singapore People's Party
545,LOH XIU WEN  CHERYL DENISE,Workers' Party
546,LOKE KWOK SANG,Malayan Chinese Association
547,LOKE WAN,United People's Party
548,LONG YAOGUANG  DON BRYAN,Singapore People's Party
549,LONG BIN ABDULLAH,United People's Front
550,LOO BAH CHIT,Singapore Alliance
551,LOO HOE BOCK  JESSE,Reform Party
552,LOO KA THIAM,United People's Party
553,LOW BOON KIAT,Independent
554,LOW CHIAK HUAN FRANKIE,Reform Party
555,LOW GUAN ONN,People's Action Party
556,LOW SENG WAN,United People's Party
557,LOW SEOW CHAY,People's Action Party
558,LOW SIAK MENG  ERIC,People's Action Party
559,LOW TECK CHENG,Katong United Residents' Association
560,LOW THIA KHIANG,Workers' Party
561,LOW WAI CHOO JANET,People's Power Party
562,LOW YEN LING,People's Action Party
563,LOW YONG NGUAN,Singapore Democratic Party
564,LOW  PENNY,People's Action Party
565,LUI BOON PHOR,United People's Party
566,LUI TUCK YEW,People's Action Party
567,LUO JIE  JARROD,Singapore Democratic Party
568,LYE THIAM FATT  JOSEPH VICTOR,People's Action Party
569,M. OLI MOHAMED MOHAMED KASSIM,Progressive Party
570,MAGANLAL GARANGAM,Independent
571,MAH BOW TAN,People's Action Party
572,MAHMOOD BIN LATIFF,Singapore People's Alliance
573,MAHMUD BIN AWANG,People's Action Party
574,MAIDEEN BIN AMEER BATCHA,Workers' Party
575,MAJID  MIRZA ABDUL,Independent
576,MAK PAK SHEE,Independent
577,MALLAL  NAZIR AHMAD,Progressive Party
578,MAMMEN  JOHN,People's Action Party
579,MANICKAVASAGAR SUBRAMANIAM,Liberal Socialist Party
580,MANOKARAN  P.,Barisan Sosialis
581,MANYAM  SHUNMUGH SUBRA,Labour Party
582,MANYAM  STELLA,Independent
583,MARIADASS  STANLEY,Independent
584,MARIAPPAN VERAPPAN,Independent
585,MARSH  EDMUND RICHARD,Workers' Party
